# Ibuprofenum (ibuprofen) literature peak-list Raman reference
# Format: Raman shift (cm^-1), relative intensity
#
# This is a synthetic line-spectrum reference made from characteristic
# published Raman bands for racemic ibuprofen. The relative intensities are
# qualitative weights for library matching, not quantitative measured counts.
#
# Sources:
# - M. L. Vueba, M. E. Pina, L. A. E. Batista de Carvalho,
#   "Conformational Stability of Ibuprofen: Assessed by DFT Calculations and
#   Optical Vibrational Spectroscopy", J. Pharm. Sci. 97, 845-859 (2008),
#   DOI: 10.1002/jps.21007.
# - A. Hedoux et al., "Raman spectroscopy of racemic ibuprofen: evidence of
#   molecular disorder in phase II", Int. J. Pharm. 421, 45-52 (2011),
#   DOI: 10.1016/j.ijpharm.2011.09.015.
# - B. Niu et al., "Simultaneous rapid structure identification and accurate
#   quantitation of chiral drugs based on a home-built polarized Raman
#   microscope", Opt. Lett. 51, 1582 (2026). Reported racemic ibuprofen
#   markers include 832, 1205, and 1608 cm^-1.
#
# The zero shoulders create narrow triangular peaks for the app's linear
# interpolation matcher.
100,0
265,0
273,0.20
281,0
311,0
319,0.30
327,0
389,0
397,0.22
405,0
425,0
433,0.20
441,0
627,0
635,0.30
643,0
824,0
832,0.90
840,0
908,0
916,0.35
924,0
1000,0
1008,0.25
1016,0
1030,0
1038,0.22
1046,0
1137,0
1145,0.28
1153,0
1184,0
1192,0.38
1198,0.18
1205,1.00
1213,0
1262,0
1270,0.35
1278,0
1288,0
1296,0.60
1304,0
1332,0
1340,0.35
1348,0
1410,0
1418,0.45
1424,0.12
1430,0.50
1438,0
1448,0
1456,0.42
1464,0
1567,0
1575,0.40
1583,0
1600,0
1608,0.95
1615,0.30
1622,0.65
1630,0
1647,0
1655,0.35
1663,0
2922,0
2930,0.25
2938,0
2949,0
2957,0.30
2965,0
3052,0
3060,0.16
3068,0
3500,0
